,Date,District,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,temperature,wind_speed,relative_humidity
6589,2022-03-09,Vulkaneifel,323,0,0,5.052,9.276,57.68
6590,2022-03-09,Westerwaldkreis,706,1,1,3.832,16.92,43.28
6591,2022-03-09,KS Koblenz,337,2,0,2.684,5.232,60.44
6592,2022-03-09,Rhein-Pfalz-Kreis,453,3,1,3.528,4.456,50.52
6593,2022-03-09,KS Kaiserslautern,171,0,0,2.492,13.864,55.92
6594,2022-03-09,KS Landau i.d.Pf.,100,0,0,5.5,13.864,43.12
6595,2022-03-09,KS Ludwigshafen,547,7,1,3.24,4.456,52.8
6596,2022-03-09,KS Mainz,556,14,0,3.972,7.4,50.12
6597,2022-03-09,KS Pirmasens,129,1,0,5.096,8.764,44.24
6598,2022-03-09,KS Speyer,163,5,0,3.984,4.456,49.4
6599,2022-03-09,KS Frankenthal,118,1,1,2.02,4.456,56.32
6600,2022-03-10,Altenkirchen,469,4,1,7.08,19.944,41.28
6601,2022-03-10,Alzey-Worms,285,0,0,5.744,6.352,46.88
6602,2022-03-10,Bad Kreuznach,575,0,0,5.076,6.352,53.92
6603,2022-03-10,Bernkastel-Wittlich,275,3,0,7.676,13.952,44.04
6604,2022-03-10,Rhein-Lahn-Kreis,394,1,0,6.328,6.352,59.2
6605,2022-03-10,Kaiserslautern,418,4,1,5.312,23.26,49.68
6606,2022-03-10,Birkenfeld,163,2,0,3.86,5.664,51.92
6607,2022-03-10,Germersheim,360,2,1,6.832,23.26,46.76
6608,2022-03-10,Kusel,169,1,0,8.088,15.86,49.68
6609,2022-03-10,Mainz-Bingen,585,10,0,6.328,11.092,46.88
6610,2022-03-10,Mayen-Koblenz,640,1,0,4.352,7.568,59.2
6611,2022-03-10,Neuwied,561,1,0,7.624,7.568,41.08
6612,2022-03-10,Trier-Saarburg,505,5,0,7.192,10.16,44.2
6613,2022-03-10,Cochem-Zell,289,0,0,6.5,11.164,43.12
6614,2022-03-10,Rhein-Pfalz-Kreis,388,3,1,5.508,7.94,51.04
